year,County,Race_Ethnicity,leadingcause,Count,Annotation_Code,Annotation_Desc
2017,Amador,Non-Hispanic Other/Unknown,HTD,0,,
2017,Amador,Non-Hispanic Pacific Islander/Native Hawaiian,HTD,,1,Cell suppressed for small numbers
2017,Amador,Non-Hispanic White,HTD,83,,
2017,Amador,Hispanic,HYP,,1,Cell suppressed for small numbers
2017,Amador,Non-Hispanic Asian,HYP,0,,
2017,Amador,Non-Hispanic Black/African-American,HYP,0,,
2017,Amador,Non-Hispanic Multi-Race,HYP,0,,
2017,Amador,Non-Hispanic Native American/Alaskan Native,HYP,0,,
2017,Amador,Non-Hispanic Other/Unknown,HYP,0,,
2017,Amador,Non-Hispanic Pacific Islander/Native Hawaiian,HYP,0,,
2017,Amador,Non-Hispanic White,HYP,,1,Cell suppressed for small numbers
2017,Amador,Hispanic,INJ,,1,Cell suppressed for small numbers
2017,Amador,Non-Hispanic Asian,INJ,0,,
2017,Amador,Non-Hispanic Black/African-American,INJ,0,,
2017,Amador,Non-Hispanic Multi-Race,INJ,,1,Cell suppressed for small numbers
2017,Amador,Non-Hispanic Native American/Alaskan Native,INJ,0,,
2017,Amador,Non-Hispanic Other/Unknown,INJ,0,,
2017,Amador,Non-Hispanic Pacific Islander/Native Hawaiian,INJ,0,,
2017,Amador,Non-Hispanic White,INJ,19,,
2017,Amador,Hispanic,LIV,,1,Cell suppressed for small numbers
2017,Amador,Non-Hispanic Asian,LIV,0,,
2017,Amador,Non-Hispanic Black/African-American,LIV,0,,
2017,Amador,Non-Hispanic Multi-Race,LIV,0,,
2017,Amador,Non-Hispanic Native American/Alaskan Native,LIV,,1,Cell suppressed for small numbers
2017,Amador,Non-Hispanic Other/Unknown,LIV,0,,
2017,Amador,Non-Hispanic Pacific Islander/Native Hawaiian,LIV,0,,
2017,Amador,Non-Hispanic White,LIV,,1,Cell suppressed for small numbers
2017,Amador,Hispanic,NEP,,1,Cell suppressed for small numbers
2017,Amador,Non-Hispanic Asian,NEP,0,,
2017,Amador,Non-Hispanic Black/African-American,NEP,0,,
2017,Amador,Non-Hispanic Multi-Race,NEP,0,,
2017,Amador,Non-Hispanic Native American/Alaskan Native,NEP,0,,
2017,Amador,Non-Hispanic Other/Unknown,NEP,0,,
2017,Amador,Non-Hispanic Pacific Islander/Native Hawaiian,NEP,0,,
2017,Amador,Non-Hispanic White,NEP,,1,Cell suppressed for small numbers
2017,Amador,Hispanic,OTH,,1,Cell suppressed for small numbers
2017,Amador,Non-Hispanic Asian,OTH,0,,
2017,Amador,Non-Hispanic Black/African-American,OTH,0,,
2017,Amador,Non-Hispanic Multi-Race,OTH,0,,
2017,Amador,Non-Hispanic Native American/Alaskan Native,OTH,0,,
2017,Amador,Non-Hispanic Other/Unknown,OTH,0,,
2017,Amador,Non-Hispanic Pacific Islander/Native Hawaiian,OTH,0,,
2017,Amador,Non-Hispanic White,OTH,50,,
2017,Amador,Hispanic,PNF,0,,
2017,Amador,Non-Hispanic Asian,PNF,0,,
2017,Amador,Non-Hispanic Black/African-American,PNF,0,,
2017,Amador,Non-Hispanic Multi-Race,PNF,0,,
2017,Amador,Non-Hispanic Native American/Alaskan Native,PNF,,1,Cell suppressed for small numbers
2017,Amador,Non-Hispanic Other/Unknown,PNF,0,,
2017,Amador,Non-Hispanic Pacific Islander/Native Hawaiian,PNF,0,,
2017,Amador,Non-Hispanic White,PNF,,1,Cell suppressed for small numbers
2017,Amador,Hispanic,STK,,1,Cell suppressed for small numbers
2017,Amador,Non-Hispanic Asian,STK,0,,
2017,Amador,Non-Hispanic Black/African-American,STK,,1,Cell suppressed for small numbers
2017,Amador,Non-Hispanic Multi-Race,STK,,1,Cell suppressed for small numbers
2017,Amador,Non-Hispanic Native American/Alaskan Native,STK,0,,
2017,Amador,Non-Hispanic Other/Unknown,STK,0,,
2017,Amador,Non-Hispanic Pacific Islander/Native Hawaiian,STK,0,,
2017,Amador,Non-Hispanic White,STK,17,,
2017,Amador,Hispanic,SUI,0,,
2017,Amador,Non-Hispanic Asian,SUI,0,,
2017,Amador,Non-Hispanic Black/African-American,SUI,0,,
2017,Amador,Non-Hispanic Multi-Race,SUI,0,,
2017,Amador,Non-Hispanic Native American/Alaskan Native,SUI,0,,
2017,Amador,Non-Hispanic Other/Unknown,SUI,0,,
2017,Amador,Non-Hispanic Pacific Islander/Native Hawaiian,SUI,0,,
2017,Amador,Non-Hispanic White,SUI,,1,Cell suppressed for small numbers
2017,Butte,Hispanic,ALZ,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic Asian,ALZ,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic Black/African-American,ALZ,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic Multi-Race,ALZ,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic Native American/Alaskan Native,ALZ,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic Other/Unknown,ALZ,0,,
2017,Butte,Non-Hispanic Pacific Islander/Native Hawaiian,ALZ,0,,
2017,Butte,Non-Hispanic White,ALZ,183,,
2017,Butte,Hispanic,CAN,19,,
2017,Butte,Non-Hispanic Asian,CAN,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic Black/African-American,CAN,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic Multi-Race,CAN,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic Native American/Alaskan Native,CAN,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic Other/Unknown,CAN,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic Pacific Islander/Native Hawaiian,CAN,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic White,CAN,488,,
2017,Butte,Hispanic,CLD,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic Asian,CLD,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic Black/African-American,CLD,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic Multi-Race,CLD,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic Native American/Alaskan Native,CLD,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic Other/Unknown,CLD,0,,
2017,Butte,Non-Hispanic Pacific Islander/Native Hawaiian,CLD,0,,
2017,Butte,Non-Hispanic White,CLD,158,,
2017,Butte,Hispanic,DIA,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic Asian,DIA,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic Black/African-American,DIA,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic Multi-Race,DIA,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic Native American/Alaskan Native,DIA,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic Other/Unknown,DIA,0,,
2017,Butte,Non-Hispanic Pacific Islander/Native Hawaiian,DIA,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic White,DIA,55,,
2017,Butte,Hispanic,HOM,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic Asian,HOM,0,,
2017,Butte,Non-Hispanic Black/African-American,HOM,0,,
2017,Butte,Non-Hispanic Multi-Race,HOM,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic Native American/Alaskan Native,HOM,0,,
2017,Butte,Non-Hispanic Other/Unknown,HOM,0,,
2017,Butte,Non-Hispanic Pacific Islander/Native Hawaiian,HOM,0,,
2017,Butte,Non-Hispanic White,HOM,,1,Cell suppressed for small numbers
2017,Butte,Hispanic,HTD,24,,
2017,Butte,Non-Hispanic Asian,HTD,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic Black/African-American,HTD,13,,
2017,Butte,Non-Hispanic Multi-Race,HTD,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic Native American/Alaskan Native,HTD,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic Other/Unknown,HTD,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic Pacific Islander/Native Hawaiian,HTD,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic White,HTD,501,,
2017,Butte,Hispanic,HYP,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic Asian,HYP,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic Black/African-American,HYP,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic Multi-Race,HYP,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic Native American/Alaskan Native,HYP,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic Other/Unknown,HYP,0,,
2017,Butte,Non-Hispanic Pacific Islander/Native Hawaiian,HYP,0,,
2017,Butte,Non-Hispanic White,HYP,23,,
2017,Butte,Hispanic,INJ,13,,
2017,Butte,Non-Hispanic Asian,INJ,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic Black/African-American,INJ,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic Multi-Race,INJ,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic Native American/Alaskan Native,INJ,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic Other/Unknown,INJ,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic Pacific Islander/Native Hawaiian,INJ,0,,
2017,Butte,Non-Hispanic White,INJ,120,,
2017,Butte,Hispanic,LIV,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic Asian,LIV,0,,
2017,Butte,Non-Hispanic Black/African-American,LIV,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic Multi-Race,LIV,,1,Cell suppressed for small numbers
2017,Butte,Non-Hispanic Native American/Alaskan Native,LIV,,1,Cell suppressed for small numbers
